id,tw,cn,en,jp,kr
SYS_GameTitle,,,,,
SYS_Equipment,裝備,装备,Equipment,,
SYS_Backpack,背包,背包,Backpack,,
SYS_Social,社群,社群,Community,,
SYS_Screenshot,拍照,拍照,Screenshot,,
SYS_Setting,設定,设定,Setting,,
SYS_Character,角色,角色,Character,,
SYS_EXP,經驗,经验,Experience,,
SYS_Coin,金幣,金币,Coin,,
SYS_Gem,寶石,宝石,Gem,,
SYS_Energy,體力,体力,Energy,,
SYS_Purchase,購買,购买,Purchase,,
SYS_Food,食物,食物,Food,,
SYS_Event,活動,活动,Event,,
SYS_Detail,詳細,详细,Details,,
SYS_HP,血量,血量,HP,,
SYS_Totem,圖騰,图腾,Totem ,,
SYS_Gacha,抽獎,抽奖,Gacha,,
SYS_GachaEvent_6,樂透,乐透 ,Lottery,,
SYS_Credit,嗚謝,呜谢,Credits,,
SYS_Developer,制作人員,制作人员 ,Developer,,
SYS_Item,物件,物件,Item,,
SYS_Rarity,稀有度,稀有度,Rarity,,
SYS_Rarity_0,常見,常见,Common,,
SYS_Rarity_1,罕見,罕见,Uncommon,,
SYS_Rarity_2,稀有,稀有,Rare,,
SYS_Rarity_3,特級,特级,Epic,,
SYS_Rarity_4,傳說,传说,Legendary,,
SYS_Agree,同意,同意,Agree,,
SYS_Confirm,確定,确定,Confirm,,
SYS_Cancel,取消,取消,Cancel,,
SYS_Close,關閉,关闭,Close,,
SYS_ClickToStart,點擊開始遊戲,点击开始游戏,Click to start,,
SYS_DataRecover,修復資料,修复资料,Data Recovery,,
SYS_DLAllData,一併下載,一并下载,Download,,
SYS_BugReport,錯誤回報,错误回报,Bug Report,,
SYS_Announcement,遊戲公告,游戏公告,Announcement,,
SYS_AnnouncementEmpty,目前沒有任何公告,目前没有任何公告,There's no announcement,,
SYS_BugReportRemind,本機系統資訊將會與報告一同提交，用於修正用途,本机系统资讯将会与报告一同提交，用于修正用途,Basic system information will be sent with your report，data usage only for debugging,,
SYS_Submit,提交,提交,Submit,,
SYS_Summary,總結,总结,Summary,,
SYS_Credit_S_1,Delt06 – urp-toon-shader,Delt06 – urp-toon-shader,Delt06 – urp-toon-shader,,
SYS_Credit_S_2,あおいりい – RiiPopkkR,あおいりい – RiiPopkkR,あおいりい – RiiPopkkR,,
SYS_Credit_S_3,Pirate Parrot - Easy performant outline,Pirate Parrot - Easy performant outline,Pirate Parrot - Easy performant outline,,
